TRT,CAGETREATBLOCK ,CAGE,WEIGHT_1,WEIGHT_2,WEIGHT_3,,,,,,,,,,,,,,,,
Essential Oils,3,114,42,180,908,,,,,,,,,,,,,,,,
Essential Oils,3,114,43,198,756,,,,,,,,,,,,,,,,
Essential Oils,3,114,43,173,687,,,,,,,,,,,,,,,,
Essential Oils,3,114,46,201,782,,,,,,,,,,,,,,,,
Essential Oils,3,114,47,102,420,,,,,,,,,,,,,,,,
Essential Oils,3,114,40,201,799,,,,,,,,,,,,,,,,
Essential Oils,3,114,43,197,889,,,,,,,,,,,,,,,,
Essential Oils,3,114,43,152,905,,,,,,,,,,,,,,,,
Essential Oils,3,114,45,141,870,,,,,,,,,,,,,,,,
Essential Oils,3,114,35,173,925,,,,,,,,,,,,,,,,
Essential Oils,4,117,42,194,815,,,,,,,,,,,,,,,,
Essential Oils,4,117,37,184,833,,,,,,,,,,,,,,,,
Essential Oils,4,117,43,199,858,,,,,,,,,,,,,,,,
Essential Oils,4,117,42,197,884,,,,,,,,,,,,,,,,
Essential Oils,4,117,41,190,830,,,,,,,,,,,,,,,,
Essential Oils,4,117,44,169,880,,,,,,,,,,,,,,,,
Essential Oils,4,117,46,192,862,,,,,,,,,,,,,,,,
Essential Oils,4,117,43,131,910,,,,,,,,,,,,,,,,
Essential Oils,4,117,39,197,721,,,,,,,,,,,,,,,,
Essential Oils,4,117,43,204,909,,,,,,,,,,,,,,,,
Essential Oils,5,178,40,221,800,,,,,,,,,,,,,,,,
Essential Oils,5,178,44,156,868,,,,,,,,,,,,,,,,
Essential Oils,5,178,41,189,726,,,,,,,,,,,,,,,,
Essential Oils,5,178,47,167,782,,,,,,,,,,,,,,,,
Essential Oils,5,178,44,212,975,,,,,,,,,,,,,,,,
Essential Oils,5,178,45,207,925,,,,,,,,,,,,,,,,
Essential Oils,5,178,38,168,916,,,,,,,,,,,,,,,,
Essential Oils,5,178,42,144,640,,,,,,,,,,,,,,,,
Essential Oils,5,178,46,189,888,,,,,,,,,,,,,,,,
Essential Oils,5,178,45,170,827,,,,,,,,,,,,,,,,
Essential Oils,6,181,44,202,877,,,,,,,,,,,,,,,,
Essential Oils,6,181,41,179,879,,,,,,,,,,,,,,,,
Essential Oils,6,181,41,186,928,,,,,,,,,,,,,,,,
Essential Oils,6,181,41,181,954,,,,,,,,,,,,,,,,
Essential Oils,6,181,45,189,846,,,,,,,,,,,,,,,,
Essential Oils,6,181,45,201,878,,,,,,,,,,,,,,,,
Essential Oils,6,181,44,209,859,,,,,,,,,,,,,,,,
Essential Oils,6,181,43,200,634,,,,,,,,,,,,,,,,
Essential Oils,6,181,42,193,814,,,,,,,,,,,,,,,,
Essential Oils,6,181,45,164,848,,,,,,,,,,,,,,,,
Essential Oils,7,191,47,176,894,,,,,,,,,,,,,,,,
Essential Oils,7,191,43,181,754,,,,,,,,,,,,,,,,
Essential Oils,7,191,43,155,737,,,,,,,,,,,,,,,,
Essential Oils,7,191,43,167,880,,,,,,,,,,,,,,,,
Essential Oils,7,191,45,207,789,,,,,,,,,,,,,,,,
Essential Oils,7,191,41,196,938,,,,,,,,,,,,,,,,
Essential Oils,7,191,44,177,815,,,,,,,,,,,,,,,,
Essential Oils,7,191,42,152,534,,,,,,,,,,,,,,,,
Essential Oils,7,191,46,195,888,,,,,,,,,,,,,,,,
Essential Oils,7,191,47,178,828,,,,,,,,,,,,,,,,
Essential Oils,8,195,40,185,779,,,,,,,,,,,,,,,,
Essential Oils,8,195,44,200,826,,,,,,,,,,,,,,,,
Essential Oils,8,195,43,203,863,,,,,,,,,,,,,,,,
Essential Oils,8,195,41,202,768,,,,,,,,,,,,,,,,
Essential Oils,8,195,39,194,790,,,,,,,,,,,,,,,,
